Binary representation,Error,Features selected,Lookup value,Penalty factor
0100000000010100,0.6465000000000001,"(1, 11, 13)",1.0215,0.125
0100000000010010,0.6635,"(1, 11, 14)",1.0385,0.125
0100000000010001,0.7336666666666667,"(1, 11, 15)",1.1086666666666667,0.125
0100000000001100,0.609,"(1, 12, 13)",0.984,0.125
0100000000001010,0.6116666666666667,"(1, 12, 14)",0.9866666666666667,0.125
0100000000001001,0.6985,"(1, 12, 15)",1.0735000000000001,0.125
0100000000000110,0.6513333333333333,"(1, 13, 14)",1.0263333333333333,0.125
0100000000000101,0.7278333333333333,"(1, 13, 15)",1.1028333333333333,0.125
0100000000000011,0.7418333333333333,"(1, 14, 15)",1.1168333333333333,0.125
0011100000000000,0.8558333333333333,"(2, 3, 4)",1.2308333333333334,0.125
0011010000000000,0.8041666666666667,"(2, 3, 5)",1.1791666666666667,0.125
0011001000000000,0.7596666666666667,"(2, 3, 6)",1.1346666666666667,0.125
0011000100000000,0.766,"(2, 3, 7)",1.141,0.125
0011000010000000,0.7555000000000001,"(2, 3, 8)",1.1305,0.125
0011000001000000,0.7878333333333334,"(2, 3, 9)",1.1628333333333334,0.125
0011000000100000,0.7515000000000001,"(2, 3, 10)",1.1265,0.125
0011000000010000,0.7678333333333334,"(2, 3, 11)",1.1428333333333334,0.125
0011000000001000,0.7728333333333334,"(2, 3, 12)",1.1478333333333333,0.125
0011000000000100,0.761,"(2, 3, 13)",1.1360000000000001,0.125
0011000000000010,0.7601666666666667,"(2, 3, 14)",1.1351666666666667,0.125
0011000000000001,0.8191666666666666,"(2, 3, 15)",1.1941666666666666,0.125
0010110000000000,0.7905,"(2, 4, 5)",1.1655,0.125
0010101000000000,0.7565,"(2, 4, 6)",1.1315,0.125
0010100100000000,0.735,"(2, 4, 7)",1.1099999999999999,0.125
0010100010000000,0.7304999999999999,"(2, 4, 8)",1.1055,0.125
0010100001000000,0.7611666666666667,"(2, 4, 9)",1.1361666666666665,0.125
0010100000100000,0.7483333333333333,"(2, 4, 10)",1.1233333333333333,0.125
0010100000010000,0.7483333333333333,"(2, 4, 11)",1.1233333333333333,0.125
0010100000001000,0.744,"(2, 4, 12)",1.119,0.125
0010100000000100,0.7476666666666667,"(2, 4, 13)",1.1226666666666667,0.125
0010100000000010,0.7346666666666667,"(2, 4, 14)",1.1096666666666666,0.125
0010100000000001,0.8041666666666667,"(2, 4, 15)",1.1791666666666667,0.125
0010011000000000,0.7045,"(2, 5, 6)",1.0795,0.125
0010010100000000,0.6778333333333333,"(2, 5, 7)",1.0528333333333333,0.125
0010010010000000,0.6823333333333333,"(2, 5, 8)",1.0573333333333332,0.125
0010010001000000,0.6988333333333333,"(2, 5, 9)",1.0738333333333334,0.125
0010010000100000,0.6795,"(2, 5, 10)",1.0545,0.125
0010010000010000,0.6776666666666666,"(2, 5, 11)",1.0526666666666666,0.125
0010010000001000,0.6816666666666666,"(2, 5, 12)",1.0566666666666666,0.125
0010010000000100,0.7155,"(2, 5, 13)",1.0905,0.125
0010010000000010,0.6721666666666667,"(2, 5, 14)",1.0471666666666666,0.125
0010010000000001,0.7256666666666667,"(2, 5, 15)",1.1006666666666667,0.125
0010001100000000,0.6331666666666667,"(2, 6, 7)",1.0081666666666667,0.125
0010001010000000,0.5968333333333333,"(2, 6, 8)",0.9718333333333333,0.125
0010001001000000,0.677,"(2, 6, 9)",1.052,0.125
0010001000100000,0.6553333333333333,"(2, 6, 10)",1.0303333333333333,0.125
0010001000010000,0.6295,"(2, 6, 11)",1.0045,0.125
0010001000001000,0.6281666666666667,"(2, 6, 12)",1.0031666666666665,0.125
0010001000000100,0.6838333333333333,"(2, 6, 13)",1.0588333333333333,0.125
0010001000000010,0.6211666666666666,"(2, 6, 14)",0.9961666666666666,0.125
0010001000000001,0.6891666666666667,"(2, 6, 15)",1.0641666666666667,0.125
0010000110000000,0.5813333333333333,"(2, 7, 8)",0.9563333333333333,0.125
0010000101000000,0.6156666666666666,"(2, 7, 9)",0.9906666666666666,0.125
0010000100100000,0.6163333333333334,"(2, 7, 10)",0.9913333333333334,0.125
0010000100010000,0.6398333333333333,"(2, 7, 11)",1.0148333333333333,0.125
0010000100001000,0.6318333333333334,"(2, 7, 12)",1.0068333333333332,0.125
0010000100000100,0.652,"(2, 7, 13)",1.0270000000000001,0.125
